Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Alcohol/Vol,Made In,By,Sugar Content,Varietal,Release Date,Lat,Lon,Savings
 Ruffino Prosecco Rose DOC,20,18,5,-2,  750 ml bottle ,"Ruffino has been at the forefront of Italian winemaking since 1877. This lovely prosecco ros√© is light pink and expresses approachable notes of strawberry, rose petals, red berries, and peach. A refreshingly crisp finish caps the medium-bodied and flavourful palate. Pair with grilled fish over a bed of rice.",Rose & Red Sparkling Wine,11%," Friuli,   Italy ",Ruffino Srl Wines,21,Sparkling,,45.4413,11.59666,2
 Josh Cellars Pinot Grigio,19.95,17.95,4.5,-17,  750 ml bottle ,"Josh Cellars is a renowned brand created to celebrate the founder's father. This delicious California Pinot Grigio is a new addition to their range of wines. It's fresh and bright, with flavours of quince, yellow berries backed up by hints of nuts and fresh bread. Sip on its own, or pair with grilled chicken or fish.",White Wine,12.50%," California,   United States ",Josh Cellars,3,Pinot Grigio,,36.7014631,-118.755997,2
 Collavini Pinot Grigio,16.55,14.55,4.5,-6,  750 ml bottle ,"This pinot grigio is a customer favourite, and it's easy to see why. It's pale straw, with inviting aromas of lemon, pear, and apple. The palate offers flavours of apricot, grapefruit and a hint of honey. It's light-bodied and crisp, with a palate-cleansing finish. Pair with mushroom risotto or grilled shrimp.",White Wine,12.50%," Veneto,   Italy ",Collavini,4,Pinot Grigio,,45.6476663,11.8665254,2
 Bottega Vino Dei Poeti Brut Rose,16,14.5,5,-4,  750 ml bottle ,"It pours a medium pink colour with an elegant mousse. On the nose, it offers strawberry and raspberry aromas with notes of pastry and a floral lift. The palate is dry and medium-bodied with soft ripe berry flavours and a fresh citrus finish.",Rose & Red Sparkling Wine,11.50%,  Italy ,Bottega,13,Sparkling Rose,,42.6384261,12.674297,1.5
 Peller Family Vineyards Pinot Grigio,10.95,9.95,5,-3,  750 ml bottle ,"Easy drinking, refreshing white wine, sourced from vineyards in Canada and around the world. Shows aromas of cantaloupe, yellow berries and pear with a hint of chocolate. Extra dry, medium-bodied with refreshing melon, berries and pear flavours. Perfect for casual sipping or pair with light fare, salads and appetizers.",White Wine,12%,  Canada ,Peller Family Vineyards,6,Pinot Grigio,,61.0666922,-107.991707,1
 Santa Julia Reserva Malbec,16,14,5,-5,  750 ml bottle ,"Deep red purple colour; aromas of plum, blackberry and cassis, with notes of honey, chocolate and blood orange; dry, medium-plus bodied, rich and plush on the palate, with balanced tannin structure, flavours of ripe black plum with notes of black currant, honey, coffee and citrus.",Red Wine,14.50%," Mendoza,   Argentina ",Santa Julia,2,Malbec,,-32.8894155,-68.8446177,2
 Babich Sauvignon Blanc,20,18,4.8,-6,  750 ml bottle ,"Pale yellow; floral, passion fruit, citrus and herbal notes; balanced acidity with bright passion fruit and citrus flavours.",White Wine,12.50%," Marlborough,   New Zealand ",Babich,5,Sauvignon Blanc,,-36.7846223,174.723989,2
 Liberty School Cabernet Sauvignon,24.95,22.95,4.6,-14,  750 ml bottle ,"The Hope family, owners of Liberty School, helped transform the 'wild west' of Paso Robles into a wine lover's destination thanks to wines like this rich Cab with its black fruit flavours. A real crowd-pleaser with barbecued fare or a meat-lovers' pizza.",Red Wine,13.50%," California,   United States ",Liberty School,7,Cabernet Sauvignon,"  April†1,†2021  ",36.7014631,-118.755997,2
 19 Crimes Snoop Dogg Cali Red,19.95,17.95,3.7,-63,  750 ml bottle ,"19 Crimes wines are defiant by nature, bold and always uncompromising, just like the D-O-double-G! Cali red was created as a collaboration with entertainment icon Snoop Dogg. This red blend exhibits bold and uncompromising dark berry fruit, spice and toasted oak tones, with a powerful yet smooth finish. Pair with bbq meats.",Red Wine,14.10%," California,   United States ",19 Crimes,21,Red Blend,,36.7014631,-118.755997,2
 Blu Giovello Pinot Grigio,15,13,4,-4,  750 ml bottle ,"Produced in north-eastern Italy in the region of Friuli, it's a pale-coloured, clean and refreshing wine. The bouquet opens with distinct notes of quince, fruit blossom, nuts, spice and candy. Medium-minus body and fresh on the palate with more tree fruit flavours and hints of spice that add balance to a clean finish.",White Wine,12%," Friuli,   Italy ",Blu Giovello,2,Pinot Grigio,,45.4413,11.59666,2
 Caliterra Sauvignon Blanc,11.95,10.95,5,-2,  750 ml bottle ,"Clear pale straw colour; minerally, citrus/lime, bell pepper, berry and mint aromas; extra dry, medium body with round flavour of citrus, bell pepper and berries, moderate finish.",White Wine,13%,  Chile ,Caliterra,2,Sauvignon Blanc,,-31.7613365,-71.3187697,1
